classificacao,comentario
racista,Independente dessa discusão toda esse povo da senzala continuam sendo inferiores sim
normal,Muito bom!
normal,"Eu amei, AMEI!!!!!! E é bem assim mesmo, no começo eu pensava justamente como você disse no início: sou mais clara, não devo ser negra, o mundo embranquece tanto que você acaba se vendo branco também, mas não, não sou, sou uma negra clara e dai meu nariz fino? Sou negra mesmo assim! Muito obrigada por me esclarecer tantas coisas!"
normal,Amei o vídeos parabéns
normal,"Vc deve ter alguma formação em sociologia, pq não pode ser...<br />Seu canal inteiro é maravilhoso &lt;3"
normal,"Sou branca e acompanho seu canal para me manter informada. Porém tenho muitas amigas negras q não fazem parte do movimento feminista negro, o q devo fazer para dar aquele toque camarada sem protagonizar uma luta q não é minha? Porque eu já estou envolvida no movimento feminista a muito tempo, e tenho bastante medo de acabar roubando falas por ser muito efusiva nas minhas falas sobre o assunto. O q devo fazer?"
normal,Que vídeo incrível. Tapa na cara ouvir tudo isso e perceber que as vezes a gente é racista sem perceber. Aula!
normal,"Te seguindo pra aprender com você e  eliminar aquele fundo de racismo que sempre foi implantado em mim e que por mais que eu ame e respeite os negros da minha fámilia e meus amigos, em alguns momentos vergonhosos da minha vida já me vi com pensamentos racistas dos quais na hora não me dei conta."
normal,as vezes Deus coloca umas pessoas nas nossas vidas q mds 
normal,"aprendendo , obrigada !!!!"
normal,Muito obrigado pelo vídeo! Extremamente esclarecedor!<br />Parabéns :D
normal,Menina to conhecendo seu canal agora! e to adorando! vc é muito linda e inteligente!
normal,"caralho, muito foda."
normal,Primeiro video seu que eu assisti e concordei com tudo
normal,"Eu sou angolana, absolutamente toda a minha família é angnolana, e neste momento vivo em Portugal. Tenho pele clara, sou loira, cabelo liso e tenho olhos meio claros, mas meus lábios e nariz são grandes e tenho ancas muito largas (minha fisionomia é o corpo tradicional africano, mas os pigmentos do meu corpo são mais nórdicos). Minha avó é negra e casou com um branco, então conforme o passar das gerações a cor da pele foi &quot;clareando&quot;. Minha mãe é como eu, branca e loira, mas cabelo meio cacheado. Já a irmã da minha mãe nasceu negra, de cabelo negro e cacheado. Assim dá para ver um pouco da mistura que há, e o porquê das minhas características físicas serem tão diferentes. Aqui em Portugal as pessoas vivem me criticando, afirmando que eu estou &quot;tentando ser negra&quot; e que &quot;não é a minha cultura&quot;, mas foi a cultura em que cresci e me orgulho muito dela. Até com o meu sotaque as pessoas &quot;reclamam&quot;, quando faço dread ou trança no cabelo ou quando uso padrões étnicos eu tenho que me preparar para os comentários. E é curioso que eu NUNCA recebi nenhum tipo de comentário maldoso como esse de nenhuma pessoa negra, são sempre os brancos que os fazem. Irónico, não?"
normal,"na verdade me identifico mais como negra, meu coração é negro e pra mim é o importa"
normal,"Eu sou de pele extremamente branca, no entanto não consigo me considerar branca, sempre me coloco como parda, sofro discriminação pelo meu jeito de vestir, meus dreads de lã, minhas unhas grandes com cores diferentes, uso tam rasta e só ouço música reggae, as pessoas riem dizendo que eu quero ser negra a força, na verdade eu não tô nem aí, meus cabelos são cacheados de raiz lisa e vou fazer dreads costurados em breve"
normal,"Desculpa pelo comentário mas eu penso assim e queria a sua opinião......<br />Esse colorismo também da a impressão de que existe um padrão de beleza negra, que privelegia os ditos mulatos e morenos mesmo sendo de forma sexual em varios momentos seja pela pele mais clara ou qualquer outro motivo; e  que os &quot;negros&quot; que estao nesse padrão apenas usam oq receberam através da miscigenação, logo, se sao miscigenados tem a parte negra e branca dentro de si. Nao seria injusto criar um sistema em q so existe branco e preto pra cor de pele?<br />Continuaria segregando as pessoas e ainda teria gente que nao se encaixaria <br />O colorismo é ruim, mas nao do mesmo jeito pra todos."
normal,"Que vídeo lindo. Eu acho linda a cultura, todos os tipos de tons de negro, a história de luta, meu Deus que coisa linda. <br />Amo ter o cabelo cacheado pq me lembra muito os negros (mas sei que existem negros com cabelo liso). Enfim, amo tudo isso."
normal,Tão bom ver alguem que nos representa! Ótimo trabalho.
normal,"eu não sei muito se sou branca, mas muita gente me chama de amarela tipo &quot;ei amarela&quot; e meio chato isso, eu sou uma mestiça de ruivo com negro, e minha cor e muito mestiça, as vezes tô bem branca e as vezes sou um pouco parda, eu me considerava parda mas eu nem sei mas o que me considero, isso pra mim ta sendo meio dificil"
normal,M A R A V I L H O S A
normal,"Nátaly, já acompanho seu canal há algum tempo e percebo que você é super politizada e possui opiniões bem definidas sobre diversos assuntos e admiro isso. A sua politização foi adquirida com o tempo, com o seu entendimento, sua concepção de mundo, ou você acha que as ciências sociais exercem um pouco de influência nisso?"
normal,"O chato é que quando os &quot;pardos&quot; como eu dizem que são negros, geralmente outros negros não aceitam :( e ai você pensa &quot;eu não sou branco, mas os negros também não aceitam e eu não sou parda, pq não sou papel&quot;. Eu fico bem perdida as vezes :/"
normal,"&quot;mas tu não é negra.. tu é morena clara ! &quot;<br />Sempre ouvi isso e sempre me incomodei, mas não fazia ideia de que era algo muito alem de mim. <br />melhor vídeo 💜"
racista,nossa cara procurar umas vasilhas pra lavar essa escrava não quer
normal,"Amo seu trabalho e seus vídeos foi através de você que aprendi a me valorizar, porque antes eu me culpava por eu ser quem eu sou por além de eu ser negro sou gay e todos me apontavam e me julgava e eu não  escolher ser assim sabe eu tive esse privilégio eu tomei essa coragem vendo seus vídeos e te admiro muito continue essa pessoa maravilhosa"
normal,"Tenho algumas duvidas sobre alguns pontos do video e gostaria que você me esclarecesse, se possível: <br />* Você disse que pardo e preto pertencem a raça negra e depois disse que no imaginário social o pardo tornou-se um branco queimadinho de sol e em seguida falou que por este motivo (o lance do branco queimadinho) vocês do movimento não falam pardo... Isso não seria abrir mão de lutar por essa consciência?<br />* Você também disse que racismo é, dentre outras questões, duvidar da capacidade intelectual dos negros. Tendo em vista isso, o sistema de cotas raciais se torna um  racismo &quot;legal&quot;... Como o movimento negro apoia tal causa se discorda do seu principio?<br />*O racismo é falar &quot;aqueles negrinhos ali&quot;, segundo suas palavras. Entretanto... as pessoas ali nao são negras? O que tem de errado em aponta-las como tal? <br />*A pele de cor escura não está direcionada apenas a raça/etnia negra. Minha familia, por exemplo, tem influencia africana, nativa e portuguesa. E a maioria das pessoas com a pele mais escura, tem um ligação mais próximo com nativos que com os negros... O movimento diferencia ou abrange ambas as raças? <br />*Eu estudo com um menina que tem a mae preta, ela tem os mesmos traços faciais e corporais da mae, porem tem a pele clara como o do pai. Ela se diz branca por causa da cor da pele. É correta a postura? Os negros albinos são &quot;desclassificados&quot;?"
normal,Amei! Vídeo super esclarecedor. Obrigada!
normal,vc consegue ir de irritada argumentando pra fofa em dois segundos hahaha
normal,"naah eu Jah passei por situações em que queriam me obrigar a ser parda <br />pois isso ia ser melhor pra mim como é ser negro fosse ruim <br />Eu que nunca fui de ficar quieta Jah falei logo <br />que &quot;parda&quot; e &quot;moreninha&quot; fica pra quem não aceita sua própria cor <br />Eu sou negra!<br />Sou Preta!<br />independente de tons de pele eu sou negra, sou negra de história sou negra de idéias e não vão me converter a algo que acham mais aceitável"
normal,"Meu Deus!!! Que linda Gratidão Nátaly, aprendo muito com seus videos!"
normal,nossa cara antes mesmo de vc falar o primeiro mito foi exatamente o que eu pensei
normal,"Gostei muito do seu vídeo,  quero saber o que vc pensa a respeito de uma coisa. Vi no facebook uma publicação da página &quot;Deus é negra&quot; pedindo que as pessoas parem de chamar carinhosamente as  namoradas brancas de &quot;nega&quot;. Eu não entendi de que forma isso pode ser pejorativo ou refletir um preconceito. O que você pensa a respeito?"
normal,mulata de exportação seria a globeleza?
normal,amei a explicaçao. um dia o brasil vai deixar de ser hipocrita. todos temos raças misturadas. classificar é um erro. um &quot;branco&quot; pobre de comunidade\favela nao pode usar cotas.... so um exemplo de como algumas coisas sao inuteis.
normal,Como minha esposa (negra diga-se de passagem) pardo é papel.
normal,Parabéns linda! Maravilhoso seu video!
normal,"O seu vídeo veio como uma cachoeira para mim. Porque eu estava conversando como uma amiga ano passado a respeito disso. Justamente querer me colocar no grupo dos pardos, que eu eu sou amarela que não pego Sol. Sim, eu também sou negra de pele clara, digo e afirmo que sou negra sim e a minha amiga não aceitou de jeito nenhum essa minha afirmação. A aceitação tem que vir de dentro e não da sociedade."
normal,"Ótimo vídeo, parabéns! Só uma dúvida: o termo &#39;&#39;negra de pele clara&quot; seria equivalente a parda/mulata ou seria parte do espectro negro? Tenho muita dúvida quanto a isso pois muitas pessoas da sua cor por exemplo, se consideram negras, outras se consideram pardas, muitas vezes o critério parece ser o tipo de cabelo e não a cor da pele..."
normal,Rainha negra ne amores
normal,"Mana, muito obrigada por esse vídeo! &lt;3"
normal,"mesmo que a pessoa seja branca, asiatica, ou whatever. Ela pode falar de racismo, pode lutar contra. O pessoal do green peace defende as árvores e não são árvores."
normal,"Parabéns!! Vídeo bem explicativo!! Só gostaria de fazer uma observação... O termo pardo no Brasil é só uma nomenclatura diferente das utilizadas em outros países, os quais utilizam termos como multirracial,birracial,multiétnico e etc.. Ser &quot;pardo&quot; pode sim ser considerado  como negro tbm, porém desde que tenha alguma ancestralidade de origem AFRICANA. Por exemplo: Um indivíduo que é fruto do casamento de uma branca com um índio, é considerado pardo, pois não pertence a nenhuma &quot;raça/etnia&quot; propriamente dita, e em hipótese alguma pode ser considerado negro, pois NAO tem origem afrodescendente. Entende? É relativo. Nem todo pardo pode ser considerado negro, pois parte do pressuposto que todos os pardos possuem alguma origem africana, e isso não é verdade, ja que em um país como nosso, existem várias possibilidades de miscigenação (branco x índio, branco x amarelo/asiático, branco x negro, negro x índio, negro x amarelo/asiático ou pode acontecer da pessoa possuir genes herdadas de branco, negro, índio e amarelo)... Enfim, nosso país é muito diverso, não dá pra afirmar algo sem olhar pelo lado relativista."
racista,moça que tal alisar esse cabelo em kk
normal,To aprendendo tanto com essa linda 
normal,"Poxa! Muito obrigada por esse vídeo!!! To emocionada! Nunca me identifiquei como branca (por esses pequenos episódios da vida q vc citou). Quase como vc a família da minha mãe é negra (e índigena) e a do meu pai é branca (e um pouco indígena tbm). Apesar de me identificar como negra sempre tive medo de afirmar isso e ser rejeitada pelas pessoas negras de pele mais escura (a família da minha mãe sempre me dizia branca). Então não sabia se tinha direito de fazer isso. Se sentir no limbo da falta de identidade é horrível, obrigada por me ajudar a sair de lá!"
normal,Amei &lt;3 me esclareceu muitas duvidas &lt;3
normal,"Nátaly, que incrível e lacrador seu canal, que conteúdo rico e que discussão incrível! Sério, estou apaixonada por você, suas idéias e seu discurso! Muito obrigada por abrir este canal e ser um veículo de ampliação das nossas consciências! Ganhou mais uma seguidora! Um abraço fraterno!"
normal,"Oi Natali, tdo bm? Estou fazendo um doc ficcional para o TCC q aborda o colorismo. Você poderia me indicar algum material escrito q aborde o assunto?<br />Desde já, agradeço muito :)"
normal,"Construtivo de mais esse seu video. Eu sofro muito preconceito exatamente por ser negra da pele clara, antes de eu assumir meu cabelo crespo todos diziam que eu era branca, depois que os assumi todos me chamam de negra. E sinceramente isso se tornou um conflito gigantesco dentro de mim. Fora que só depois de assumir o cabelo crespo é que conheci o preconceito de perto, olhares tortos é o que não falta... Mas enfim eu sou negra e ponto final. Amo seus videos, já sou fã!!! bjs"
normal,&quot;Eu não sou negrômetro de ninguém.&quot; Genial =)
normal,Que batom maravilhoso é esse?
normal,"Sou filha de várias raças, Africano, Indígena, Boliviana, Italiana, sou brasileira, nasci no Brasil, Sou NEGRA clara.(<br />E AMEI conhecer você (teu vídeo), tuas idéias.<br />Ganhou uma nova inscrita, linda. :)"
normal,"Sou uma negra clara! E já sofri horrores mulher, realmente você arrasou no contexto todo."
normal,"Fiquei impressionada quando você falou dos esteriótipos de mulher negra e eu percebi que eu realmente acreditava neles. Tipo, minha cabeça explodiu. Achi o vídeo muito interessante, eu não sabia que existia colorismo e aprendi aqui."
normal,"você é maravilhosa, socorro &lt;3"
normal,isso ai
normal,u
normal,ta de parabéns seu vídeo
racista,repetitivo como todo preto cheio de mimimi
normal,Suas pontuações foram maravilhosas !
normal,esclarecimento e sensatez em cada segundo . já perdi a conta de quantas vezes dei play nesse vídeo ahhh ! fala mais alto no snap !! BJ linda !!
normal,Obrigada!
normal,"Sou branca de pais brancos, mas tenho cabelo crespo, não é cacheado, é crespo. Meu cabelo vem por parte do meu avô que é negro, e já me falaram muitas vezes que não posso ter cabelo crespo pq sou branca, e cabelo crespo é coisa de negro. Ja ouvi ate que não sou filha da minha mãe (pq ela tem cabelos lisos) kkkkkk"
normal,"Eu sou a chamada &quot;morena&quot; pela sociedade com nariz de batata e boca carnudinha. Eu aaaaaaaaamei a sua posição durante todo o vídeo e me fez pensar sobre tudo que eu já vivi. Estou em transição no momento do cabelo quimicamente alisado com progressiva para o meu cacheado normal. E esses tipos de vídeos, ajudam muito a pessoas assim como eu, em transição, a saber da nossa própria história, de quem nós somos e isso tudo eu não conhecia a fundo. Tenho 17 anos, beirando aos 18 anos e até fui tentar ensinar a minha mãe o que aprendi nessa pesquisa toda sobre cabelo cacheado, tranças, entre outros... o que aprendi! Ela tem 43 anos e não sabia metade disso tudo. Acho que foi por isso que alisamos nosso cabelo, para parecermos &quot;índias&quot; , por algo que combinasse com o tom da nossa pele. Sabe, algo que admirassem, sei lá... Mas hoje em dia eu entendo algo sobre tudo isso. Estou aprendendo muito mais. Obrigada por dividir seu pensamento e ponto de vista conosco! Sou grata!"
normal,"Bom, em certa vez, numa aula de sociologia, um professor meu falou um pouco sobre a questão do pardo. ele falou mais ou menos assim: o termo &quot;pardo&quot; para seres humanos só foi criado para distinguir aquelas pessoas nem brancas, nem negras, graças ao preconceito imposto pelo homem branco, que faz com que as pessoas façam de tudo para não serem negros. a persistência para não ser negro é tão grande, que as pessoas não falam &quot;ah, você é mais negro que eu&quot; ao invés disso, falam: &quot;ah, você é menos branco que eu&quot;. Mas o que eu quero colocar em questão é: Muitas vezes já vi pessoas no facebook comentando em posts sobre negros, se dizendo negras e as próprias pessoas mais negras que ela agindo com preconceito, negando a etnia dela. Quero saber: se o termo pardo não é aceito (por ser cor e não etnia), se dizer que a pessoa é branca sem ter 100% características do branco europeu, e sem poder se considerar negra, devido ao preconceito dos próprios negros, como ela deve se denominar. À deriva?"
normal,"bem, sua fala é coerente, reflexiva, mas tem uma questão importante para ser discutida ainda. não se pode negar que houve sim uma miscigenação massiva, desde o início da invasão européia, neste pedaço de terra nomeado brasil por estes invasores. primeiro entre os portugueses e índios e, logo em seguida, entre negros e esses outros. sou de pernambuco. esse meu estado é ótimo exemplo de &quot;mistureba&quot; racial mesmo. o pernambucano (a) típico é fracionado na mescla de índio, branco e negro. isso se reflete nas nossas manifestações culturais, no nosso jeito de pensar, falar, agir. então se eu disser que sou só negra. eu vou estar negando meus outros ancestrais que estruturam meu DNA sabe?! então eu me identifico mesmo é como mestiça - multirracial que é um termo mais atualizado né? eu digo e repito sempre, tenho sim ascendência negra, branca e indígena. e eu não me &quot;embranqueci&quot; por isso! sou uma prova viva e humana que esse negócio de raça como definidora de identidade, ainda é insuficiente para dizer tudo sobre um indivíduo humano ok. é só minha maneira de ver as coisas. não quero com isso, negar toda problemática que você abordou com tanta inteligência. desejo que siga pra frente e pro alto com seus projetos. abraço fraterno."
normal,Mano não sou negra mas que vontade d mostrar esse vidio pra tanta gente!!!!!!!
normal,"Tão inteligente, tão linda e Jovem.<br />Você é uma das vozes da nossa geração, que orgulho.<br />continue assim, você é ótima 😍"
normal,"Eu achava que não havia sofrido racismo, mas porque não enxergava como o racismo me afetava, achava que não poder determinadas coisas era normal, usar batom, pintar o cabelo de colorido, usar cabelo armado, volumoso, etc. Quando percebi isso até fiz um vídeo sobre isso no meu canal, pois o racismo é como você disse, sutil, tão sutil que a gente não vê! :/"
normal,"todos* até quando isso ? como já mostrou a escola de de samba  império de casa verde, Vem meu samba desvendar<br />Meu corpo arrepiar<br />Sou caçador de emoções<br />Trago no peito um sentimento sem mistério<br />Bate forte paixão, coração<br />Minha te amo Império<br /><br />Delirante, além da imaginação<br />O mundo é mesmo inexplicável, que fascinação !<br />Terra sagrada, abençoada<br />Ensina decifrar o seu valor<br />Ouro de rara beleza…Eldorado encantador<br />A fé na minha vida é esperança<br />Força pro meu caminhar<br />Sigo a lança do destino<br />Cada um com sua crença<br />Crendo na cura da alma e no poder divino<br /><br />Diga onde andará...Nosso jardim<br />Paraíso a encontrar…riqueza sem fim<br />No Egito a perfeição e sutileza<br />O mar de ilusões...Atlântida<br />Mistérios dessas civilizações<br /><br />Sinais em pedra...O dom de curar<br />Caminho traçado a outro lugar<br />Povo iluminado o tempo dirá<br />E O AMANHÃ  O QUE SERÁ ?<br />Quando a saudade me abraça, eu olho pro céu<br />Vejo a luz que me acalma na imensidão<br />sinto a vida em outra dimensão<br />Chegou do espaço sideral<br />Uma nação guerreira<br />A grande estrela desse Carnaval"
normal,O bulingui e o racismo estão em todas as classes sociais em todo momento em todos  lugares.
normal,Vc é negra e tem um nariz menor que o meu ..Vou te julgar por isso ? Nao genteee Eu sou branco e tenho narizao por causa da minha familia que alias é branca.
normal,"Afros e afins eu entendi cada palavra que vc disse, mas entenda pardo é mistura de raças caucaso e afro, caucaso e indijena, indijena e afro ... e temos nomes para definira essas misturas, cafuso, mameluco e mulato pesquise sobre isso melhor e entenda ..."
normal,"amei o video, você é linda e super didática. seria muito melhor se você editasse melhor os videos pq as vezes perdemos oq vc fala ou fica meio no vácuo"
normal,"Onde eu moro, tem uma mulher negra mesma,Aquela pele linda ,cabelo afro educadissima ,Passou no enem e ganhou 2 bolsas.. Todo mundo gosta dela.. E umas brancas feias e barraqueira,burra que só Deus.."
normal,"Obrigado por esse video! maravilhoso, parabéns!"
normal,"adorei os vídeos, continue com esse engajamento social, muitas pessoas precisam ouvir isso!"
normal,"Se expressa muito bem e é super linda!! Gostei muito do vídeo, parabéns!<br />me ajudou a perceber uma coisa que não me incomoda em absoluto, mas que realmente me toquei com seu vídeo, e que fez soltar uma risadinha de surpresa, de canto de boca... Ta aí, sou negra...! meu cabelo é crespo, minha pele não é branca, e princialmente ja sofri racismo... por me &quot;sexualizarem&quot; mais do que minhas amigas brancas, por eu impressionar demais quando mostro que sou inteligente ou competente, por me tratarem sutilmente diferente... obrigada, querida! :*"
normal,Adorei! Muita consciência boa!
normal,"Eu não sou branca nem negra, na minha opinião, oq você disse me confundiu demais!"
normal,"Eu não sei o que eu sou, não sei quem eu sigo, NÃO SEI QUE COR QUE EU TENHO"
normal,"uns caras meio toscos (reação de desprezo) (muda de assunto, fala do cabelo, e volta pro assunto em menos de 1 segundo para demonstrar que não se importa [sera?] e mais desprezo). Você acabou de discriminar pessoas de direita :)"
normal,"CARALHO. Eu poderia ficar a tarde toda aqui escrevendo o tanto de merda que você falou nesse vídeo. Vei, qual é o racismo em falar &quot;aqueles neguinhos ali&quot;? Eu falo isso, se fossem brancos, eu diria &quot;aqueles branquinhos ali&quot;. Você não é igual uma pessoa branca, você é diferente sim, eu olho pra você e vejo que você é negra, porque eu não posso usar sua cor como referência?"
normal,"Nataly, você falou TUDO! Já ouvi mil vezes essa de &quot;você não é negra porque seu nariz é fino&quot; e detesto. Desde quando meu nariz faz a minha identidade? Nós, negros de pele clara, precisamos nos posicionar para dizer que sabemos dos nossos privilégios sim, mas não temos orgulho deles e queremos ser reconhecidos pela identidade de nossos ancestrais guerreiros."
normal,"Mas ai você fala que se eu me auto declarar pardo eu estou perdendo minha identidade negra, é isso? que a sociedade considera pardos como sendo o meio termo entre as raças brancas e negras, e que se eu me declarar pardo eu estaria perdendo minha &quot;negritude&quot;, é isso? se foi isso que você quis dizer, você é racista, está dizendo que se eu tenho algum traço da raça africana, isso predomina na minha outa raça, como se ser negro fosse mais importante."
normal,Vídeo maravilhoso! Aula!
normal,Que vídeo maravilhoso!
normal,"Nataly, você é maravilhosa &lt;3"
normal,Como não fazer uso dos privilégios?<br />Como não fazer uso dos privilégios?<br />Como ter uma biblioteca em casa e não ler os livros?
normal,"Eu acho que só seu nariz é mais ou menos branco, pq o formato da sua cabeça, boca, olhos, é bem afro."
normal,"Quero fontes de onde você tirou todas essas informações principalmente dos mitos, quero ler todos. Aguardo."
normal,"garota... MULHER!!!<br />TU É LINDA DE MAIS!<br />Você formula minhas opiniões, e me faz querer ler mais!!! <br />guria tu é cura gay!!!!!"
normal,Você vai ser uma ótima professora! &lt;3
normal,Obrigada por esse vídeo!! &lt;3
normal,Amei! Me identifiquei muito com esse vídeo!
normal,"Gente eu preciso ser negra pra falar de racismo? Eu preciso ser homem pra falar de homem? Eu preciso ser estuprada pra falar de estupro? Se o seu argumento tiver base ninguém vai se importar se vc é negra ou não, e se alguém se importar, é ignorante ."
normal,"Pardo é pardo gente. Branco é branco, pardo é pardo e negro é negro. Que lombra isso.<br />Então por que um pardo não é um branco escuro? &#39;-&#39;  Vei, as raças se co relacionam e dão origem a novas raças. O pardo pode ter caracteristica genetica do negro ou do branco. O pardo NAO é negro, e NAO é branco. é pardo. O fato do pardo nao ser negro não é ruim, e nem de não ser branco também não é ruim. Aliás foda-se sua cor.  E outra, teoria de embranquecimento de dizer que o pardo nao tem a consciencia de quem ele é porque ele é um negro embranquecido. Cara,  minha cor jamais foi um fator pra mim e jamais ditou minha personalidade e quem eu sou. <br />E eu acho que deveria ser assim pra todo mundo, e se não é assim, é porque temos um problema social. Acho que racismo de verdade é ver racismo em tudo. Existe eu sei, mas eu acho que  existe um exagero por parte das mídias  e de algumas pessoas."
normal,"desde criança estou nessa dúvida pra saber que cor eu sou e sempre que tinha que responder a questionários de que cor sou nunca tive a certeza, a família da minha mãe é negra eu MSM tenho o cabelo bem cacheado mas como vc disse tenho os traços brancos. seu vídeo me deu mais clareza sobre essa questão de cor."
normal,Como vc é linda! Parabéns pelos seus vídeos minha flor.
normal,"acho que a única coisa que não concordo com vc é do que vc falou de que quase ngm quer ofender pq o racismo é velado. o racismo pode tá intrínseco na sociedade a ponto de muitas pessoas não perceberem que o cometem, e justamente por isso não têm a intenção de ofender. o racismo velado é aquele tem sim a intenção de ofender mas é usado de maneira subliminar, a pessoa sabe que vc é negro e pensa sim que vc é menos por causa disso. isso é uma ofensa. quem não se importa com cor, e quem acha que o racismo tem mais é que sumir, não vai querer ofender, nem te olhar diferente nem pensar que vc é diferente, por mais que acabe falando algo que remeta ao racismo, sem a intenção de ofender. mas de resto, concordo completamente, espero de verdade que isso tudo acabe, ou se amenize ao máximo. ninguém tem que sofrer por causa da sua cor, ninguém devia cometer ato falho por causa de uma ideia que a sociedade enfiou na cabeça da maioria... continue com seu trabalho!"
normal,"você é tão linda que eu nem sei lidar, sério."
normal,"eu sofro com piadas desde pequena, pq não sou branca nem b<br />negra, tenho cabelos cacheados e aliso por opção... se ai sou taxada de índia... tenho sangue de índio, negro e branco... mas me considero negra com trassos indígenas e me amo!"
normal,"Sempre tive a duvida de que meus amigos íntimos sempre me chamaram de naga,preta,pretinha e nunca me senti incomodada pois nunca foi em tom agressivo,ou mesmo como você disse no videio do &quot;Ta achando que sou suas negas&quot;,mas mesmo assim isso é um tipo de racismo ?"
normal,Uma aula! Foi muito esclarecedor pra quebrar alguns paradigmas que eu tinha. Obrigado!
normal,"Maravilhoso!  Eu penso assim e me entristeço há tempos : se eu que sou negra com a pele um pouco mais clara sofro preconceito ( sou negra, mulher e pobre), imagina os haitianos de pele escura como a noite...estes são julgados no primeiro olhar.  Triste.  Sofro tbm com todos que dizem que eu não sou negra porque tenho sardas e aqueles que me chamam de morena. Contra tudo isso, eu sou consciente. Endosso a luta.  Obrigada por este vídeo  &lt;3"
normal,"ei, te adorei, vc é muito fera no entendimento e clara, só poderia fazer sociologia mesmo, vai ser bom para tí e depois para nós, afinal, vc vai produzir e reproduzir mais conhecimentos!!! Torço por ti"
normal,"pardo é moreno claro também não são a mesma coisa a a diferença éque pardo émais claro é as vezes tem cabelo liso ,qualquer retardado percebe isso, fodasse oque o IBGE diz não é negro é ."
normal,Explicação brilhante!
normal,"Só não concordo muito que pardo &quot;não é cor&quot;. Pardo é uma outra categoria de cor de pele SIM, e não é a mesma coisa que negro. Geralmente as pessoas pardas são misturas de brancos europeus com negros africanos,  você falar que são negros apenas é uma forma de apagar totalmente um lado da herança genética da pessoa."
normal,"Nossa, vc explica muito bem! Tirou muitas dúvidas!"
normal,"sou negra de pele clara cabelo crespo e tenho o nariz Largo  (batata) porém minha irmã tem a pele mais<br /> escura que a minha tem o cabelo menos crespo que o meu e tem nariz fino,  E de Fato isso não  tem nada haver na questão ser negro (a),  isso é muito além do que podemos imaginar."
normal,"Aprendendo muito contigo, Nátaly! Excelente vídeo! &lt;3"
normal,"kkkkk eu nunca vi tanta bobagem num video de 12 minutos, 1910??????? caralho quanta merda, serio nega para de disseminar esse tipo de lixo please"
normal,Obrigada por me ensinar tanta coisa em 12 minutos.
normal,Você é maravilhosa! Aula que todos deveriam assistir. Também sou negra de pele clara e me identifiquei muito com seu discurso. Esse vídeo me ajudou a abrir ainda mais minha mente sobre o racismo. Obrigado linda!!!
normal,eu sempre me acreditei parda pq tem índio na minha mistura. tá ruim isso?
normal,"Adorei teu vídeo, Nataly. Mas acho que a colonização européia no Brasil começou antes do século XX. Aqui no Rio Grande do Sul, os alemães chegaram em 1822. :)"
normal,Oii! Vi seu vídeo com a Jout Jout e adorei!! Uma aula mesmo. 
normal,Que garota linda putzz<br />Cheia de estilo <br />Adorei os videos
normal,"Eu entrei super em um super dilema pessoal na ultima semana porque sempre coloquei nos questionários que sou negra, massssssssss, sou descendente indígena na mesma porcentagem negra porque minha mãe cafuza (a mãe dela era indigena e o pai negro).<br />Dai fui ver o que cargas d&#39;agua era o pardo e ai que o pardo não é o negro claro e sim um termo para dar um nome a galera que tem muita mistura, como todo o brasileiro tem, tipo eu. Esse tema é bem mais embaixo do buraco, e meu questionamento interno no momento é, pq defendo tanto a raça negra (pq minha já sofreu muito preconceito) e não a raça indigena (que é tão abandonada socialmente no brasil)... <br />dilemas..."
normal,"Eu achei seu canal por acaso , e vc é muita linda "
normal,"agora está bem mais claro!!! agora sim sou negra rs. e tenho a explicação para quem discordar.<br />mas senti que enquadrou preconceito na definição de racismo, no nosso código penal quando é imputada uma pena privativa de liberdade ( inafiançável) a uma pessoa se refere à aquela pessoa que cometeu racismo, e não &#39;somente&#39;  preconceito. Racismo: &quot;você não pode fazer isso (entrar, sair, ver algo, enfim qualquer coisa)  pq você é negro&quot;. Preconceito &quot;eu não gosto de voce, pois você é negra&quot; até pq o ultimo caso é muito pessoal. 😳🙄"
normal,"Affff, fala sério! Como eu aprendo com essa menina! "
normal,"Da vontade de ficar te ouvindo falar por horas, que maravilhosa &lt;3"
racista,A quantidade de etnias presentes nos brasileiros não podem ser ignoradas dessa forma . Dividir um pais missigenado como esse em brancos e negros é bem radical ... Negro grau 1 Negro grau 2 Negro grau 3... e por aí vai ? kkkkk
racista,"preta feia, e ainda negando que tem gente mais branca que ela"
normal,Menina tu arrasa
normal,ganhou meu interesse em me inscrever aqui...voce é show! qual a sua idade?
normal,"Racismo é quando você pede pra mexer no meu cabelo, racismo é quando você diz que acha corajoso eu assumir meus cachos, racismo é quando você diz que eu não falo como uma negra...desde pequena sofrendo racismo de várias formas pra depois a pessoa falar que eu estou exagerando quando respondo &quot;só se você deixar eu pegar no seu!&quot; ou que não é preciso coragem pra &quot;assumir&quot; meus cachos ou quando eu os pergunto o que eles acham que é &quot;falar como negro&quot;"
normal,conheci o canal através do vídeo da jout jout e ja to amando 
